HOME_TEAM,Goles a favor,Goles en contra,Partidos jugados,Victorias,Empates,Derrotas,Porcentaje Victoria,Porcentaje Empate,Porcentaje Derrota,cluster
AC Milan,-0.29824332669260856,-0.6309444395273965,-0.2160862443079855,-0.22048853087536643,-0.1816620453716572,-0.3065612895914157,0.374849053865153,-0.01475428133130118,-0.5118692183471848,0
FC Sheriff,-0.6197455110443643,-1.0369233547870045,-0.821645300212999,-0.5389719643620068,-0.9145744353193775,-1.2504473654386692,0.374849053865153,-0.45690525147406774,-0.9520056103165877,0
Sporting CP,0.02325885765914712,0.4065572328027128,0.18761979296202344,-0.06124681413204628,-0.42596617535423065,0.9519534782049224,0.24205279969195456,-0.865044608528929,0.1652636923749736,1
Olympique Lyon,-0.04563446755908624,-0.0445304508190739,0.08669328364452121,-0.14086767250370635,1.2841627345237836,0.008067402357668806,0.15905514083370537,1.5327741141683817,-0.6219033163395352,1
CSKA Moskva,-0.29824332669260856,-0.1798567559056099,-0.2160862443079855,-0.3001093892470265,-0.1816620453716572,-0.3065612895914157,0.08712383648988938,-0.01475428133130118,-0.5118692183471848,0
RB Salzburg,0.16104550809561383,0.8576449164244995,0.18761979296202344,-0.14086767250370635,0.5512503445760631,0.6373247862558379,0.04285841843215644,0.3593734626356551,-0.13944611744999766,1
Shakhtar Donetsk,0.18400994983502494,1.8049290520302514,0.7931788488670369,0.09799490261127387,2.017075124471504,1.266582170154007,0.011406674022714534,0.9393609700294053,-0.39604385203944725,1
Olympique Marseille,-0.5508521858261308,-0.585835671165218,-0.5188657722604922,-0.4593511059903467,-1.158878565301951,0.008067402357668806,-0.05673877219774262,-1.7833581619023668,1.0286081535457257,3
Be?ikta?,-0.2293500014743752,0.5418835378892488,-0.11515973499048328,-0.3001093892470265,0.30694621459348975,0.008067402357668806,-0.05673877219774262,0.6042570768685719,-0.2918010223624833,1
Lazio Roma,-0.4819588606078975,-0.9467058180626472,-0.7207187908954967,-0.5389719643620068,-0.1816620453716572,-1.2504473654386692,-0.05673877219774262,2.196000569382531,-1.2821079042936396,0
AS Monaco,-0.09156335103790848,0.7223186113379635,0.08669328364452121,-0.22048853087536643,0.06264208461091626,0.32269609430675333,-0.05673877219774262,-0.12529202386699254,-0.2918010223624833,1
Bayer Leverkusen,-0.3441722101714308,-0.4054005977165032,-0.11515973499048328,-0.3001093892470265,0.5512503445760631,-0.3065612895914157,-0.05673877219774262,1.0021929499970617,-0.6879237751349458,0
Bor. Mönchengladbach,-0.29824332669260856,-0.4054005977165032,-0.41793926294299,-0.4593511059903467,-0.1816620453716572,-0.3065612895914157,-0.24170498336755522,0.49056111311757467,-0.008856198953581598,0
Lille OSC,-0.5049233023473086,-0.5407269028030393,-0.41793926294299,-0.4593511059903467,-0.42596617535423065,0.008067402357668806,-0.24170498336755522,-0.07791870563741073,0.5570334478642223,3
Club Brugge KV,0.00029441591973599816,1.714711515305894,0.7931788488670369,-0.14086767250370635,1.528466864506357,1.266582170154007,-0.39746600330002896,0.520481103578364,-0.39604385203944725,1
RSC Anderlecht,-0.7345677197414199,-0.7662707446139326,-0.821645300212999,-0.6185928227336668,-1.158878565301951,-0.9358186734895847,-0.4883265982606386,-1.7833581619023668,0.36840356559162063,3
Spartak Moskva,-0.573816627565542,-0.9467058180626472,-0.821645300212999,-0.6185928227336668,-0.42596617535423065,-0.9358186734895847,-0.4883265982606386,2.196000569382531,0.36840356559162063,0
Zenit St. Petersburg,-0.29824332669260856,-0.08963921918125256,-0.2160862443079855,-0.4593511059903467,-0.1816620453716572,0.6373247862558379,-0.4883265982606386,-0.01475428133130118,0.8085399575610241,3
Maccabi Haifa,-0.6197455110443643,-0.585835671165218,-0.821645300212999,-0.6185928227336668,-1.158878565301951,-0.6211899815405002,-0.4883265982606386,-1.7833581619023668,1.6888127414998295,3
Feyenoord,-0.6656743945231864,-0.9015970497004686,-0.821645300212999,-0.6185928227336668,-1.158878565301951,-0.6211899815405002,-0.4883265982606386,-1.7833581619023668,1.6888127414998295,3
BSC Young Boys,-0.5278877440867198,-0.4505093660786819,-0.5188657722604922,-0.5389719643620068,-0.42596617535423065,0.008067402357668806,-0.4883265982606386,0.2063212037400821,1.0286081535457257,3
Crvena Zvezda,-0.5967810693049531,0.1359046226296408,-0.5188657722604922,-0.5389719643620068,-0.9145744353193775,0.32269609430675333,-0.4883265982606386,-1.1201317066882173,1.6888127414998295,3
FC København,-0.5967810693049531,-0.9015970497004686,-0.5188657722604922,-0.5389719643620068,0.30694621459348975,-0.3065612895914157,-0.4883265982606386,2.196000569382531,0.36840356559162063,0
VfL Wolfsburg,-0.6656743945231864,-1.0820321231491832,-0.821645300212999,-0.6185928227336668,-0.6702703053368041,-0.9358186734895847,-0.4883265982606386,0.8695476589542314,0.36840356559162063,0
FK Krasnodar,-0.6427099527837754,-1.0369233547870045,-0.821645300212999,-0.6185928227336668,-0.6702703053368041,-1.2504473654386692,-0.4883265982606386,0.8695476589542314,-0.9520056103165877,0
?stanbul Ba?ak?ehir,-0.6197455110443643,-0.7211619762517539,-0.821645300212999,-0.6185928227336668,-1.158878565301951,-0.6211899815405002,-0.4883265982606386,-1.7833581619023668,1.6888127414998295,3
Legia Warszawa,-0.573816627565542,-0.4505093660786819,-0.821645300212999,-0.6185928227336668,-0.9145744353193775,-0.6211899815405002,-0.4883265982606386,-0.45690525147406774,1.6888127414998295,3
FK Rostov,-0.6427099527837754,-0.9918145864248259,-0.821645300212999,-0.6185928227336668,-0.6702703053368041,-0.9358186734895847,-0.4883265982606386,0.8695476589542314,0.36840356559162063,0
Lokomotiv Moskva,-0.4819588606078975,-0.0445304508190739,-0.2160862443079855,-0.5389719643620068,-0.42596617535423065,0.32269609430675333,-0.7760518156359024,-0.45690525147406774,0.36840356559162063,3
Olympiakos Piraeus,-0.4589944188684864,0.1359046226296408,-0.2160862443079855,-0.5389719643620068,-0.6702703053368041,1.266582170154007,-0.7760518156359024,-0.8990562216168341,1.6888127414998295,3
Dinamo Zagreb,-0.4589944188684864,0.2261221593539981,-0.2160862443079855,-0.5389719643620068,-0.42596617535423065,0.9519534782049224,-0.7760518156359024,-0.45690525147406774,1.2486763495304265,3
Dinamo Kiev,-0.4819588606078975,-0.1798567559056099,-0.2160862443079855,-0.5389719643620068,-0.1816620453716572,0.32269609430675333,-0.7760518156359024,-0.01475428133130118,0.36840356559162063,3
Galatasaray,-0.6427099527837754,-0.5407269028030393,-0.5188657722604922,-0.6185928227336668,-0.42596617535423065,0.008067402357668806,-0.9199144243235344,0.2063212037400821,1.0286081535457257,3
Celtic FC,-0.4589944188684864,0.6772098429757848,-0.2160862443079855,-0.6185928227336668,0.06264208461091626,0.008067402357668806,-1.0637770330111664,0.42739668881146536,-0.07173282637778178,0
Stade Rennes,-0.7116032780020087,-1.0369233547870045,-0.821645300212999,-0.6982136811053269,-0.9145744353193775,-0.6211899815405002,-1.3515022503864302,-0.45690525147406774,1.6888127414998295,3
Slavia Praha,-0.6886388362625976,-1.0820321231491832,-0.821645300212999,-0.6982136811053269,-0.6702703053368041,-1.2504473654386692,-1.3515022503864302,0.8695476589542314,-0.9520056103165877,0
Viktoria PlzeÅ,-0.6656743945231864,-0.4505093660786819,-0.821645300212999,-0.6982136811053269,-1.158878565301951,-0.6211899815405002,-1.3515022503864302,-1.7833581619023668,1.6888127414998295,3
1899 Hoffenheim,-0.5278877440867198,-0.9015970497004686,-0.821645300212999,-0.6982136811053269,-0.42596617535423065,-1.2504473654386692,-1.3515022503864302,2.196000569382531,-0.9520056103165877,0
Rangers,-0.7345677197414199,-0.5407269028030393,-0.821645300212999,-0.6982136811053269,-1.158878565301951,-0.6211899815405002,-1.3515022503864302,-1.7833581619023668,1.6888127414998295,3
Qaraba? FK,-0.7345677197414199,-0.9015970497004686,-0.821645300212999,-0.6982136811053269,-0.6702703053368041,-0.9358186734895847,-1.3515022503864302,0.8695476589542314,0.36840356559162063,0
PSV Eindhoven,-0.5508521858261308,-0.4505093660786819,-0.5188657722604922,-0.6982136811053269,-0.1816620453716572,-0.3065612895914157,-1.3515022503864302,0.8695476589542314,0.36840356559162063,0
PFC Ludogorets Razgrad,-0.6427099527837754,-0.8564882813382899,-0.821645300212999,-0.6982136811053269,-0.42596617535423065,-1.2504473654386692,-1.3515022503864302,2.196000569382531,-0.9520056103165877,0
NK Maribor,-0.7116032780020087,-0.8113795129761112,-0.821645300212999,-0.6982136811053269,-0.42596617535423065,-0.9358186734895847,-1.3515022503864302,2.196000569382531,0.36840356559162063,0
Malmö FF,-0.7575321614808309,-0.9015970497004686,-0.821645300212999,-0.6982136811053269,-0.9145744353193775,-0.6211899815405002,-1.3515022503864302,-0.45690525147406774,1.6888127414998295,3
Ferencvárosi TC,-0.6656743945231864,-0.7662707446139326,-0.821645300212999,-0.6982136811053269,-0.9145744353193775,-0.6211899815405002,-1.3515022503864302,-0.45690525147406774,1.6888127414998295,3
FC Midtjylland,-0.6886388362625976,-0.9467058180626472,-0.821645300212999,-0.6982136811053269,-0.6702703053368041,-0.9358186734895847,-1.3515022503864302,0.8695476589542314,0.36840356559162063,0
APOEL Nikosia,-0.7345677197414199,-0.7662707446139326,-0.821645300212999,-0.6982136811053269,-0.6702703053368041,-0.9358186734895847,-1.3515022503864302,0.8695476589542314,0.36840356559162063,0
AEK Athen,-0.7345677197414199,-0.9467058180626472,-0.821645300212999,-0.6982136811053269,-1.158878565301951,-0.6211899815405002,-1.3515022503864302,-1.7833581619023668,1.6888127414998295,3
KRC Genk,-0.6656743945231864,-0.6309444395273965,-0.821645300212999,-0.6982136811053269,-0.9145744353193775,-0.6211899815405002,-1.3515022503864302,-0.45690525147406774,1.6888127414998295,3
