Equipos,Victorias Locales,Victorias Visitantes,Empates Locales,Empates Visitantes,Derrotas Locales,Derrotas Visitantes,Victorias Totales,Empates Totales,Derrotas Totales,Partidos Totales,Porcentage Victoria,Porcentage Empate,Porcentage Derrota
Olympiakos Piraeus,2.0,0.0,2.0,0.0,5.0,9,0.0,0.0,14.0,0.0,0.0,0.0,0.0
Olympique Marseille,2.0,1.0,0.0,0.0,4.0,5,3.0,0.0,9.0,0.0,0.0,0.0,0.0
PFC Ludogorets Razgrad,0.0,0.0,1.0,2.0,2.0,1,0.0,3.0,3.0,0.0,0.0,0.0,0.0
PSV Eindhoven,0.0,0.0,2.0,2.0,4.0,4,0.0,4.0,8.0,0.0,0.0,0.0,0.0
Qaraba? FK,0.0,0.0,1.0,1.0,2.0,2,0.0,2.0,4.0,0.0,0.0,0.0,0.0
RSC Anderlecht,0.0,1.0,0.0,0.0,3.0,2,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Rangers,0.0,0.0,0.0,0.0,3.0,3,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Slavia Praha,0.0,0.0,0.0,2.0,3.0,1,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Spartak Moskva,1.0,0.0,2.0,1.0,0.0,2,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Stade Rennes,0.0,0.0,1.0,0.0,2.0,3,0.0,0.0,5.0,0.0,0.0,0.0,0.0
VfL Wolfsburg,1.0,0.0,1.0,1.0,1.0,2,0.0,2.0,3.0,0.0,0.0,0.0,0.0
Viktoria Plze?,1.0,1.0,1.0,0.0,1.0,2,2.0,0.0,3.0,0.0,0.0,0.0,0.0
Viktoria PlzeÅ,0.0,0.0,0.0,0.0,3.0,3,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Zenit St. Petersburg,3.0,0.0,2.0,2.0,4.0,7,0.0,4.0,11.0,0.0,0.0,0.0,0.0
