HomeTeam,AwayTeam,Result
Alaves,Alaves,1-4
RealMadrid,Levante,1-2
Huesca,Huesca,1-2
RealMadrid,Valencia,2-0
Valladolid,Valladolid,0-1
RealMadrid,RealSociedad,1-1
AtleticoMadr,AtleticoMadr,1-1
RealMadrid,Elche,2-1
CeltaVigo,CeltaVigo,1-3
RealMadrid,Eibar,2-0
RealMadrid,Barcelona,2-1
AtleticoMadr,AtleticoMadr,2-0
Sevilla,Elche,2-0
Cadiz,Cadiz,1-3
Sevilla,Levante,1-0
Barcelona,Barcelona,1-1
Granada,Granada,1-0
Sevilla,Eibar,0-1
AthleticClub,AthleticClub,2-1
Sevilla,Osasuna,1-0
Sevilla,CeltaVigo,4-2
Huesca,Huesca,0-1
Sevilla,RealMadrid,0-1
Getafe,Getafe,0-1
Sevilla,Valladolid,1-1
Valencia,Valencia,0-1
Sevilla,Villarreal,2-0
Betis,Betis,1-1
Sevilla,RealSociedad,3-2
Alaves,Alaves,1-2
Sevilla,Cadiz,3-0
Eibar,Eibar,0-2
Sevilla,Getafe,3-0
Sevilla,Huesca,1-0
Osasuna,Osasuna,0-2
Sevilla,Barcelona,0-2
Elche,Elche,2-1
Sevilla,Betis,1-0
Valladolid,Valladolid,1-1
Sevilla,AtleticoMadr,1-0
CeltaVigo,CeltaVigo,3-4
Valladolid,RealSociedad,1-1
Betis,Betis,2-0
Valladolid,CeltaVigo,1-1
RealMadrid,RealMadrid,1-0
Valladolid,Eibar,1-2
Huesca,Huesca,2-2
Valladolid,Alaves,0-2
Villarreal,Villarreal,2-0
Valladolid,AthleticClub,2-1
Granada,Granada,1-3
Valladolid,Levante,1-1
AtleticoMadr,AtleticoMadr,2-0
Valladolid,Osasuna,3-2
Sevilla,Sevilla,1-1
Valladolid,Barcelona,0-3
Cadiz,Cadiz,0-0
Getafe,Getafe,0-1
Valladolid,Valencia,0-1
Valladolid,Elche,2-2
Levante,Levante,2-2
Valladolid,Huesca,1-3
Alaves,Alaves,1-0
Eibar,Eibar,1-1
Valladolid,RealMadrid,0-1
CeltaVigo,CeltaVigo,1-1
Valladolid,Getafe,2-1
Osasuna,Osasuna,0-0
Valladolid,Sevilla,1-1
Barcelona,Barcelona,1-0
Valladolid,Granada,1-2
Valencia,Levante,4-2
CeltaVigo,CeltaVigo,2-1
Valencia,Huesca,1-1
RealSociedad,RealSociedad,0-1
Valencia,Betis,0-2
Villarreal,Villarreal,2-1
Elche,Elche,2-1
Valencia,Getafe,2-2
Valencia,RealMadrid,4-1
Alaves,Alaves,2-2
Valencia,AtleticoMadr,0-1
Eibar,Eibar,0-0
Valencia,AthleticClub,2-2
Barcelona,Barcelona,2-2
Valencia,Sevilla,0-1
Granada,Granada,2-1
Valencia,Cadiz,1-1
